,statNm,statId,chgerId,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail
37,기장군청,ME000061,01,06,부산광역시 기장군 기장읍 기장대로 560,null,35.2443,129.2232,,ME,환경부,환경부,1661-9408,9,20220811124810,20220811103904,20220811111945,,,50,단독,26,26710,A0,A001,N,,N,,N,
38,성명맨션 앞(공중전화부스),ME000063,01,06,대구광역시 동구 신천3동 146-15,null,35.8683691,128.6232879,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124810,20220810171133,20220810175140,,,50,단독,27,27140,G0,G003,N,,N,,N,
39,망우당공원 택시쉼터,ME000064,01,06,대구광역시 동구 효동로2길 93 ,null,35.8764164,128.6564477,,ME,환경부,환경부,1661-9408,9,20220811124810,20220811070413,20220811072319,,,50,단독,27,27140,C0,C003,N,,N,,N,
40,원평치안센터(공중전화부스),ME000065,01,06,대구광역시 서구 평리3동 729-2,null,35.8793788,128.561858,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124310,20220810164125,20220810171828,,,50,단독,27,27170,G0,G003,N,,N,,N,
41,만평네거리 북편 공영주차장,ME000067,01,06,대구광역시 북구 팔달로 105 ,null,35.8900805,128.562145,,ME,환경부,환경부,1661-9408,9,20220811124310,20220810112130,20220810115124,,,50,단독,27,27230,B0,B001,N,,N,,N,
42,대구교통연수원,ME000069,01,06,대구광역시 수성구 무학로 203 ,null,35.8302242,128.6304832,,ME,환경부,환경부,1661-9408,9,20220811124810,20220810143613,20220810151655,,,50,단독,27,27260,A0,A004,N,,N,,N,
43,성서국민체육센터,ME000071,01,06,대구광역시 달서구 선원로 133 ,null,35.8598646,128.5068616,,ME,환경부,환경부,1661-9408,9,20220811124810,20220811100447,20220811104526,20220811115725,,50,단독,27,27290,A0,A004,N,,N,,N,
44,홀마트 앞 (공중전화부스),ME000072,01,06,대구광역시 달성군 논공읍 논공로 749,null,35.7290522,128.445777,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210803111810,20201025145946,20201025152926,,,50,단독,27,27710,G0,G003,N,,N,,N,
45,인천공항 정부합동청사,ME000073,01,03,인천광역시 중구 공항로424번길 47,null,37.440993,126.461521,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20211004080810,00000000000000,20210924125955,,,50,단독,28,28110,B0,B001,Y,,N,,N,
46,롯데마트 영종도점,ME000074,01,03,인천광역시 중구 흰바위로 51,null,37.492675,126.491194,10:00~22:00,ME,환경부,환경부,1661-9408,9,20210924115810,20210924112420,20210924112527,,,50,단독,28,28110,E0,E001,N,,N,,N,
47,차이나타운 주차장,ME000075,01,06,인천광역시 중구 신포로27번길 80,null,37.4761432,126.6183817,,ME,환경부,환경부,1661-9408,9,20220811124310,20220810200525,20220810203028,,,50,단독,28,28110,B0,B004,N,,N,,N,
