,statNm,statId,chgerId,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zprov,zscode,kind,kindDetail,parkingFree,limitYn,delYn,statUpdDt_rev,lastTsdt_rev,lastTedt_rev
28,수서역 공영주차장,ME000039,1,3,서울특별시 강남구 수서동 735,서울특별시 강남구,37.487569,127.101016,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11680,B0,B001,Y,N,N,9/10/2021 9:53,9/8/2021 15:52,9/8/2021 16:30
29,학여울역 공영주차장,ME000040,1,3,서울특별시 강남구 남부순환로 3104,서울특별시 강남구,37.496722,127.070444,05:00~익일01:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11680,B0,B001,Y,N,N,10/21/2021 15:33,10/5/2021 18:39,10/5/2021 19:20
30,롯데마트 잠실점,ME000044,1,3,서울특별시 송파구 올림픽로 240,서울특별시 송파구,37.511818,127.096321,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11710,E0,E001,N,N,N,11/17/2021 14:08,11/13/2021 13:42,11/13/2021 14:21
31,이마트 명일점,ME000045,1,3,서울특별시 강동구 고덕로 276,서울특별시 강동구,37.554606,127.155966,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11740,E0,E001,N,N,N,8/3/2021 11:13,7/9/2021 10:51,7/9/2021 10:51
32,홈플러스 영도점,ME000046,1,1,부산광역시 영도구 대교로14번길 57,부산광역시 영도구,35.095906,129.04424,09:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,KR-26,26200,E0,E001,N,N,N,1/17/2022 15:13,1/14/2022 14:38,1/14/2022 15:07
33,이마트 문현점,ME000048,1,3,부산광역시 남구 전포대로91번길 47,부산광역시 남구,35.144356,129.064256,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,KR-26,26290,E0,E001,N,N,N,10/21/2021 14:08,10/18/2021 17:07,10/18/2021 17:47
34,이마트 금정점,ME000052,1,1,부산광역시 금정구 중앙대로1841번길 24,부산광역시 금정구,35.24975906,129.0901501,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,KR-26,26410,E0,E001,N,N,N,8/3/2021 11:13,8/3/2018 13:46,8/1/2018 14:57
35,홈플러스 아시아드점,ME000055,1,3,부산광역시 연제구 종합운동장로 7,부산광역시 연제구,35.19104755,129.0625057,09:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,KR-26,26470,E0,E001,N,N,N,10/21/2021 12:53,10/21/2021 11:31,10/21/2021 12:11
36,이마트 연제점,ME000056,1,3,부산광역시 연제구 연수로 89,부산광역시 연제구,35.176147,129.081345,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,KR-26,26470,E0,E001,N,N,N,11/15/2021 13:18,11/13/2021 20:01,11/13/2021 20:24
37,기장군청,ME000061,1,6,부산광역시 기장군 기장읍 기장대로 560,부산광역시 기장군,35.2443,129.2232,,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,KR-26,26710,A0,A001,N,N,N,8/11/2022 12:48,8/11/2022 10:39,8/11/2022 11:19
38,성명맨션 앞(공중전화부스),ME000063,1,6,대구광역시 동구 신천3동 146-15,대구광역시 동구,35.8683691,128.6232879,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,27,KR-27,27140,G0,G003,N,N,N,8/11/2022 12:48,8/10/2022 17:11,8/10/2022 17:51
39,망우당공원 택시쉼터,ME000064,1,6,대구광역시 동구 효동로2길 93 ,대구광역시 동구,35.8764164,128.6564477,,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,27,KR-27,27140,C0,C003,N,N,N,8/11/2022 12:48,8/11/2022 7:04,8/11/2022 7:23
40,원평치안센터(공중전화부스),ME000065,1,6,대구광역시 서구 평리3동 729-2,대구광역시 서구,35.8793788,128.561858,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,27,KR-27,27170,G0,G003,N,N,N,8/11/2022 12:43,8/10/2022 16:41,8/10/2022 17:18
41,만평네거리 북편 공영주차장,ME000067,1,6,대구광역시 북구 팔달로 105 ,대구광역시 북구,35.8900805,128.562145,,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,27,KR-27,27230,B0,B001,N,N,N,8/11/2022 12:43,8/10/2022 11:21,8/10/2022 11:51
42,대구교통연수원,ME000069,1,6,대구광역시 수성구 무학로 203 ,대구광역시 수성구,35.8302242,128.6304832,,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,27,KR-27,27260,A0,A004,N,N,N,8/11/2022 12:48,8/10/2022 14:36,8/10/2022 15:16
43,성서국민체육센터,ME000071,1,6,대구광역시 달서구 선원로 133 ,대구광역시 달서구,35.8598646,128.5068616,,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,27,KR-27,27290,A0,A004,N,N,N,8/11/2022 12:48,8/11/2022 10:04,8/11/2022 10:45
44,홀마트 앞 (공중전화부스),ME000072,1,6,대구광역시 달성군 논공읍 논공로 749,대구광역시 달성군,35.7290522,128.445777,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,27,KR-27,27710,G0,G003,N,N,N,8/3/2021 11:18,10/25/2020 14:59,10/25/2020 15:29
45,인천공항 정부합동청사,ME000073,1,3,인천광역시 중구 공항로424번길 47,인천광역시 중구,37.440993,126.461521,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,0,2.02E+13,,50,단독,28,KR-28,28110,B0,B001,Y,N,N,10/4/2021 8:08,#VALUE!,9/24/2021 12:59
46,롯데마트 영종도점,ME000074,1,3,인천광역시 중구 흰바위로 51,인천광역시 중구,37.492675,126.491194,10:00~22:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,28,KR-28,28110,E0,E001,N,N,N,9/24/2021 11:58,9/24/2021 11:24,9/24/2021 11:25
47,차이나타운 주차장,ME000075,1,6,인천광역시 중구 신포로27번길 80,인천광역시 중구,37.4761432,126.6183817,,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,28,KR-28,28110,B0,B004,N,N,N,8/11/2022 12:43,8/10/2022 20:05,8/10/2022 20:30
48,송림체육관,ME000076,1,6,인천광역시 동구 염전로 30,인천광역시 동구,37.4855897,126.6473026,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,28,KR-28,28140,A0,A004,N,N,N,8/11/2022 8:28,8/10/2022 21:38,8/10/2022 22:15
49,홈플러스 인하점,ME000077,1,3,인천광역시 미추홀구 소성로 6,인천광역시 미추홀구,37.44690295,126.6505648,09:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,28,KR-28,28177,E0,E001,N,N,N,9/2/2021 13:38,9/2/2021 13:00,9/2/2021 13:03
50,이마트 연수점,ME000079,1,3,인천광역시 연수구 경원대로 184,인천광역시 연수구,37.4047181,126.6819251,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,28,KR-28,28185,E0,E001,N,N,N,9/9/2021 11:08,9/5/2021 15:33,9/5/2021 16:14
51,홈플러스 구월점,ME000081,1,3,인천광역시 남동구 예술로 198,인천광역시 남동구,37.45195982,126.7017711,09:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,28,KR-28,28200,E0,E001,N,N,N,10/22/2021 14:13,10/14/2021 12:20,10/14/2021 13:00
52,홈플러스 가좌점,ME000085,1,3,인천광역시 서구 가정로151번길 11,인천광역시 서구,37.497573,126.670692,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,28,KR-28,28260,E0,E001,N,N,N,10/19/2021 12:23,10/18/2021 12:38,10/18/2021 12:52
53,광주시청,ME000088,1,6,광주광역시 서구 내방로 111,광주광역시 서구,35.160317,126.849815,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.01E+13,2.01E+13,,50,단독,29,KR-29,29140,A0,A001,N,N,N,8/30/2021 17:43,9/25/2014 20:50,9/25/2014 20:50
54,광주시청,ME000088,2,6,광주광역시 서구 내방로 111,광주광역시 서구,35.160317,126.849815,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.01E+13,2.01E+13,,50,단독,29,KR-29,29140,A0,A001,N,N,N,8/30/2021 17:43,9/19/2014 14:35,9/19/2014 14:35
55,광주문화예술회관,ME000090,1,3,광주광역시 북구 북문대로 60,광주광역시 북구,35.177718,126.881703,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,29,KR-29,29170,A0,A004,N,N,N,9/28/2021 11:58,9/14/2021 12:38,9/14/2021 12:51
56,홈플러스 동대전점,ME000094,1,3,대전광역시 동구 한밭대로 1282,대전광역시 동구,36.353803,127.437375,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,30,KR-30,30110,E0,E001,N,N,N,10/19/2021 10:38,10/17/2021 16:45,10/17/2021 17:25
57,대전월드컵경기장,ME000096,1,6,대전광역시 유성구 월드컵대로 32,대전광역시 유성구,36.363604,127.32591,,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,30,KR-30,30200,A0,A004,N,N,N,8/11/2022 12:43,8/10/2022 14:01,8/10/2022 14:42
58,농소2동 주민센터,ME000102,1,6,울산광역시 북구 찬샘1길 24,울산광역시 북구,35.638203,129.3480953,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,31,KR-31,31200,A0,A002,N,N,N,8/11/2022 12:48,8/11/2022 11:15,8/11/2022 11:19
59,홈플러스 동수원점,ME000106,1,3,경기도 수원시 팔달구 효원로 257,경기도 수원시,37.26286532,127.0296301,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41110,E0,E001,N,N,N,10/7/2021 15:43,7/19/2021 11:06,7/19/2021 11:07
60,이마트 서수원점,ME000107,1,3,경기도 수원시 권선구 수인로 291,경기도 수원시,37.282506,126.970137,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41110,E0,E001,N,N,N,11/24/2021 16:23,6/20/2021 14:25,6/20/2021 14:34
61,장안구청,ME000108,1,6,경기도 수원시 장안구 송원로 101,경기도 수원시,37.304438,127.010121,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41110,A0,A001,N,N,N,8/11/2022 9:48,8/9/2022 1:25,8/9/2022 2:01
62,롯데마트 영통점,ME000110,1,6,경기도 수원시 영통구 봉영로 1579,경기도 수원시,37.252726,127.071649,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41110,E0,E001,N,N,N,8/11/2022 12:48,8/10/2022 10:48,8/10/2022 11:17
63,이마트 성남점,ME000111,1,3,경기도 성남시 수정구 수정로 201,경기도 성남시,37.44396711,127.1410876,10:00~22:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41130,E0,E001,N,N,N,10/19/2021 14:48,8/24/2021 13:00,8/24/2021 13:24
64,동양컴퓨터학원 앞(공중전화부스),ME000113,1,6,경기도 성남시 중원구 중앙동 1175,경기도 성남시,37.4398788,127.1455762,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,41,KR-41,41130,G0,G003,N,N,N,8/19/2022 17:33,8/11/2022 1:04,8/11/2022 1:44
65,성남 맛고을 주차장,ME000115,1,6,경기도 성남시 분당구 야탑로 111번길 12-14,경기도 성남시,37.4119752,127.1320774,,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41130,B0,B004,N,N,N,4/25/2022 1:58,4/23/2022 12:55,4/23/2022 13:35
66,하나로마트 성남점,ME000116,1,6,경기도 성남시 분당구 성남대로 43번길 11 ,경기도 성남시,37.3378677,127.1086182,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41130,E0,E001,N,N,N,8/11/2022 12:48,8/11/2022 7:56,8/11/2022 8:20
67,홈플러스 의정부점,ME000117,1,3,경기도 의정부시 청사로 38,경기도 의정부시,37.75264066,127.0713202,10:00~23:40,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41150,E0,E001,N,N,N,8/11/2022 12:23,8/9/2022 11:05,8/9/2022 11:05
68,홈플러스 안양점,ME000118,1,3,경기도 안양시 동안구 엘에스로 92,경기도 안양시,37.370042,126.953179,09:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41170,E0,E001,N,N,N,8/19/2022 17:33,8/10/2022 14:47,8/10/2022 15:03
69,안양시청,ME000119,1,6,경기도 안양시 동안구 관앙동 1590,경기도 안양시,37.394966,126.957851,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41170,A0,A001,N,N,N,2/17/2022 15:43,1/26/2022 9:36,1/26/2022 9:59
70,이마트 중동점,ME000120,1,3,경기도 부천시 원미구 석천로 188,경기도 부천시,37.50395069,126.7640929,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41190,E0,E001,N,N,N,11/24/2021 16:23,10/18/2021 11:36,10/18/2021 11:38
71,홈플러스 안산점,ME000124,1,3,경기도 안산시 상록구 충장로 432,경기도 안산시,37.317494,126.850333,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41270,E0,E001,N,N,N,8/3/2021 11:18,5/1/2021 14:26,4/22/2021 16:40
72,롯데마트 주엽점,ME000128,1,3,경기도 고양시 일산서구 중앙로 1496,경기도 고양시,37.673095,126.755524,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41280,E0,E001,N,N,N,11/24/2021 16:23,10/22/2021 12:43,10/22/2021 13:19
73,롯데마트 고양점,ME000129,1,3,경기도 고양시 덕양구 충장로 150,경기도 고양시,37.625167,126.836274,10:00~23:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41280,E0,E001,N,N,N,11/24/2021 16:23,11/5/2021 12:53,11/5/2021 13:18
74,고양종합운동장 부설주차장,ME000130,1,6,경기도 고양시 일산서구 중앙로 1601,경기도 고양시,37.678997,126.741799,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41280,A0,A004,Y,N,N,9/14/2021 11:08,9/13/2021 14:24,9/13/2021 14:28
75,이마트 다산점,ME000132,1,3,경기도 남양주시 도농로 24,경기도 남양주시,37.608762,127.159746,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41360,E0,E001,N,N,N,8/3/2021 11:18,4/10/2021 12:51,4/10/2021 13:11
76,롯데마트 마석점,ME000134,1,6,경기도 남양주시 화도읍 경춘로 1992,경기도 남양주시,37.650216,127.309384,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41360,E0,E001,N,N,N,11/24/2021 23:08,11/24/2021 17:06,11/24/2021 17:47
77,홈플러스 시화점,ME000135,1,3,경기도 시흥시 희망공원로 269,경기도 시흥시,37.345145,126.725226,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41390,E0,E001,N,N,N,10/23/2021 18:33,10/16/2021 18:10,10/16/2021 18:37
78,의왕휴게소(서울방향),ME000136,1,6,경기도 의왕시 오전로 24,경기도 의왕시,37.347493,126.985383,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41430,C0,C002,N,N,N,9/10/2021 9:58,8/1/2021 18:36,8/1/2021 18:53
79,의왕휴게소(의왕방향),ME000137,1,6,경기도 의왕시 오전로 24,경기도 의왕시,37.348306,126.983728,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,41,KR-41,41430,C0,C002,N,N,N,5/4/2022 17:38,5/4/2022 15:50,5/4/2022 16:30
